Key,Source,Context,Example,en-us,ja-jp
ui.loading,"Loading... Press M to open stage select.","UI","Shown while the client UI is waiting for a stage.","Loading... Press M to open stage select.","読み込み中です... Mキーでステージ選択を開けます。"
ui.stageSelectTitle,"M: Stage Select","UI","Title at the top of the stage select menu.","M: Stage Select","M: ステージ選択"
ui.movingToStage,"Moving to {stage}","UI","Toast after selecting a stage. {stage} is the localized stage name.","Moving to {stage}","{stage}へ移動します"
ui.clear,"Clear!","UI","Short clear message.","Clear!","クリア！"
ui.clearReward,"Clear! XP +{xp} / Coins +{coins}","UI","Clear reward toast. {xp} and {coins} are numbers.","Clear! XP +{xp} / Coins +{coins}","クリア！ XP +{xp} / Coins +{coins}"
ui.alreadyCleared,"Already cleared. Moving to the next training.","UI","Shown when clearing a stage that already gave rewards.","Already cleared. Moving to the next training.","クリア済みです。次の練習へ進みます。"
ui.hit,"Hit! {hit} / {total}","UI","Target hit toast. {hit} and {total} are numbers.","Hit! {hit} / {total}","命中！ {hit} / {total}"
ui.inputHints,"WASD: Move    Mouse: Look    Click: Target    Shift: Sprint    Ctrl: Crouch    M: Menu","UI","Bottom input hint bar.","WASD: Move    Mouse: Look    Click: Target    Shift: Sprint    Ctrl: Crouch    M: Menu","WASD: 移動    マウス: 見る    クリック: 的を押す    Shift: 走る    Ctrl: しゃがむ    M: メニュー"
progress.checkpoint,"Checkpoint","UI","Progress text shown when touching a checkpoint.","Checkpoint","チェックポイント"
progress.hazardReturn,"Red floor! Returning","UI","Progress text shown after touching a hazard.","Red floor! Returning","赤い床！戻ります"
progress.goToExit,"Go to the exit","UI","Progress text shown after finishing arena targets.","Go to the exit","出口へ向かおう"
ranks.1,"First PC Steps","Stats","Level 1 rank title.","First PC Steps","はじめてのPC操作"
ranks.2,"Walker","Stats","Level 2 rank title.","Walker","歩ける人"
ranks.3,"Look Around","Stats","Level 3 rank title.","Look Around","見られる人"
ranks.4,"Aimer","Stats","Level 4 rank title.","Aimer","狙える人"
ranks.5,"Mover","Stats","Level 5 rank title.","Mover","動ける人"
ranks.6,"FPS Trainee","Stats","Level 6 rank title.","FPS Trainee","FPS見習い"
ranks.7,"Mission Ready","Stats","Level 7 rank title.","Mission Ready","ミッション参加者"
stages.walk_basic.title,"Stage 1: Walk Practice","Stage","Stage title.","Stage 1: Walk Practice","Stage 1: 歩く練習"
stages.walk_basic.short,"Walk","Stage","Short stage menu label.","Walk","歩く練習"
stages.walk_basic.instruction,"Press W to move forward, turn with the mouse, and reach the yellow goal.","Stage","Stage instruction.","Press W to move forward, turn with the mouse, and reach the yellow goal.","Wで前に進み、マウスで向きを変えて、黄色いゴールへ行こう。"
stages.look_targets.title,"Stage 2: Look and Aim","Stage","Stage title.","Stage 2: Look and Aim","Stage 2: 見る・狙う練習"
stages.look_targets.short,"Look and Aim","Stage","Short stage menu label.","Look and Aim","見る・狙う練習"
stages.look_targets.instruction,"Put the crosshair on the targets and click them. Clear all 10 targets.","Stage","Stage instruction.","Put the crosshair on the targets and click them. Clear all 10 targets.","画面中央の照準を的に合わせてクリックしよう。10個でクリアです。"
stages.jump_basic.title,"Stage 3: Jump Practice","Stage","Stage title.","Stage 3: Jump Practice","Stage 3: ジャンプ練習"
stages.jump_basic.short,"Jump","Stage","Short stage menu label.","Jump","ジャンプ練習"
stages.jump_basic.instruction,"Press Space to jump over steps and gaps, then reach the yellow goal.","Stage","Stage instruction.","Press Space to jump over steps and gaps, then reach the yellow goal.","Spaceでジャンプして、低い段差と小さな穴を越えて黄色いゴールへ行こう。"
stages.moving_targets.title,"Stage 4: Moving Targets","Stage","Stage title.","Stage 4: Moving Targets","Stage 4: 動く的の練習"
stages.moving_targets.short,"Moving Targets","Stage","Short stage menu label.","Moving Targets","動く的の練習"
stages.moving_targets.instruction,"Click 5 slowly moving targets. Take your time.","Stage","Stage instruction.","Click 5 slowly moving targets. Take your time.","ゆっくり動く的を5個クリックしよう。あせらなくて大丈夫です。"
stages.avoid_hazards.title,"Stage 5: Avoid Hazards","Stage","Stage title.","Stage 5: Avoid Hazards","Stage 5: 危険を避ける練習"
stages.avoid_hazards.short,"Avoid Hazards","Stage","Short stage menu label.","Avoid Hazards","危険を避ける練習"
stages.avoid_hazards.instruction,"Avoid the red floor. Green pads are checkpoints.","Stage","Stage instruction.","Avoid the red floor. Green pads are checkpoints.","赤い床を避けて進もう。緑の床に乗ると、そこからやり直せます。"
stages.sprint_basic.title,"Stage 6: Sprint Practice","Stage","Stage title.","Stage 6: Sprint Practice","Stage 6: ダッシュ練習"
stages.sprint_basic.short,"Sprint","Stage","Short stage menu label.","Sprint","ダッシュ練習"
stages.sprint_basic.instruction,"Hold Shift and W to sprint down the long path to the yellow goal.","Stage","Stage instruction.","Hold Shift and W to sprint down the long path to the yellow goal.","Shiftを押しながらWで走ろう。長い道を進んで黄色いゴールへ行きます。"
stages.crouch_basic.title,"Stage 7: Crouch Practice","Stage","Stage title.","Stage 7: Crouch Practice","Stage 7: しゃがみ練習"
stages.crouch_basic.short,"Crouch","Stage","Short stage menu label.","Crouch","しゃがみ練習"
stages.crouch_basic.instruction,"Press Ctrl once to crouch and pass through the low tunnel. Press it again to stand.","Stage","Stage instruction.","Press Ctrl once to crouch and pass through the low tunnel. Press it again to stand.","Ctrlを1回押してしゃがみ、低いトンネルを通ろう。もう1回押すと立ちます。"
stages.sprint_stop_targets.title,"Stage 8: Sprint, Stop, Aim","Stage","Stage title.","Stage 8: Sprint, Stop, Aim","Stage 8: 走って止まって狙う練習"
stages.sprint_stop_targets.short,"Sprint and Aim","Stage","Short stage menu label.","Sprint and Aim","走って止まって狙う"
stages.sprint_stop_targets.instruction,"Sprint down the corridor, stop on the blue area, then click 3 targets.","Stage","Stage instruction.","Sprint down the corridor, stop on the blue area, then click 3 targets.","Shiftで長い通路を走り、青い停止エリアで止まってから的を3個クリックしよう。"
stages.jump_targets.title,"Stage 9: Jump and Aim","Stage","Stage title.","Stage 9: Jump and Aim","Stage 9: ジャンプして狙う練習"
stages.jump_targets.short,"Jump and Aim","Stage","Short stage menu label.","Jump and Aim","ジャンプして狙う"
stages.jump_targets.instruction,"Jump across the platforms. The targets appear when you reach the final blue pad.","Stage","Stage instruction.","Jump across the platforms. The targets appear when you reach the final blue pad.","Spaceで足場をジャンプして進もう。最後の青い台に乗ると、奥の的が出ます。"
stages.training_arena.title,"Stage 10: Training Arena","Stage","Stage title.","Stage 10: Training Arena","Stage 10: トレーニングアリーナ"
stages.training_arena.short,"Arena","Stage","Short stage menu label.","Arena","アリーナ"
stages.training_arena.instruction,"In a wide obstacle arena, click and destroy 4 autonomous training robots.","Stage","Stage instruction.","In a wide obstacle arena, click and destroy 4 autonomous training robots.","障害物のある広い部屋で、自律走行ロボットを4体クリックして破壊しよう。"
